caseNo,usVol,usPg,n_docs,action_code,term,caseId,caseName,nytSalience,cqSalience,voteMargin,n,unanimous,n_cases
396_13,396,13,8,300;130;101;101;300;160;300;300,1969,1969-001,SIMPSON v. UNION OIL CO. OF CALIFORNIA,FALSE,FALSE,5,1,FALSE,1
396_19,396,19,43,103;810;100;810;103;103;810;101;810;800;920;812;120;814;400;400;323;402;920;300;640;920;630;101;323;323;402;400;410;300;910;101;910;101;811;300;430;910;300;400;400;323;300,1969,1969-002,ALEXANDER et al. v. HOLMES COUNTY BOARD OF EDUCATION et al.,TRUE,FALSE,8,1,FALSE,1
396_28,396,28,13,300;300;120;120;120;120;101;101;650;300;300;300;300,1969,1969-003,"DEBACKER v. BRAINARD, SHERIFF",FALSE,FALSE,4,1,FALSE,1
396_41,396,41,9,300;320;400;300;300;101;101;300;300,1969,1969-004,"BROCKINGTON v. RHODES, GOVERNOR OF OHIO, et al.",FALSE,FALSE,8,1,FALSE,1
396_45,396,45,11,300;410;300;203;120;120;101;101;300;120;120,1969,1969-005,"HALL et ux. v. BEALS, CLERK AND RECORDER OF EL PASO COUNTY, et al.",FALSE,FALSE,4,1,FALSE,1
396_57,396,57,13,610;300;300;100;100;100;100;300;400;300;300;300;300,1969,1969-006,"ANDERSON'S-BLACK ROCK, INC. v. PAVEMENT SALVAGE CO., INC.",FALSE,FALSE,7,1,FALSE,1
396_64,396,64,15,300;430;311;120;120;120;100;100;100;800;300;300;400;300;300,1969,1969-007,BRYSON v. UNITED STATES,FALSE,FALSE,4,1,FALSE,1
396_77,396,77,14,300;311;120;120;650;100;100;661;800;100;300;300;300;300,1969,1969-008,UNITED STATES v. KNOX,FALSE,FALSE,4,1,FALSE,1
396_87,396,87,11,160;311;120;120;120;300;300;300;100;100;300,1969,1969-009,MINOR v. UNITED STATES,FALSE,FALSE,4,1,FALSE,1
396_102,396,102,7,300;300;300;300;101;101;300,1969,1969-011,MORALES v. NEW YORK,FALSE,FALSE,6,1,FALSE,1
396_107,396,107,10,900;300;300;101;101;650;300;410;300;300,1969,1969-010,CONWAY v. CALIFORNIA ADULT AUTHORITY et al.,FALSE,FALSE,8,1,FALSE,1
396_119,396,119,9,311;160;160;300;101;101;101;300;300,1969,1969-012,CARLOS v. NEW YORK,FALSE,FALSE,4,1,FALSE,1
396_122,396,122,20,100;810;100;810;100;100;810;300;120;120;120;120;400;300;300;400;300;120;300;300,1969,1969-013,"FIRST NATIONAL BANK IN PLANT CITY v. DICKINSON, COMPTROLLER OF FLORIDA, et al.",FALSE,FALSE,4,1,FALSE,1
396_142,396,142,21,311;311;420;100;100;100;810;800;300;320;202;203;130;130;300;410;410;502;300;300;300,1969,1969-014,DETROIT & TOLEDO SHORE LINE RAILROAD CO. v. UNITED TRANSPORTATION UNION et al.,FALSE,FALSE,4,1,FALSE,1
396_162,396,162,10,300;300;100;100;300;400;300;300;300;300,1969,1969-015,CITY OF CHICAGO et al. v. UNITED STATES et al.,FALSE,FALSE,8,1,FALSE,1
