caseId,nytSalience,cqSalience
1946-001,0,0
1946-002,0,0
1946-003,0,0
1946-004,1,0
1946-005,0,0
1946-006,0,0
1946-007,0,0
1946-008,0,0
1946-009,0,0
1946-010,0,0
1946-011,0,0
1946-012,0,0
1946-013,0,0
1946-014,0,0
1946-015,0,0
1946-016,0,0
1946-017,0,0
1946-018,0,0
1946-019,0,0
1946-020,0,0
1946-021,0,0
1946-022,0,0
1946-023,0,0
1946-024,0,0
1946-025,0,0
1946-026,0,0
1946-027,0,0
1946-028,0,0
1946-029,0,0
1946-030,0,0
1946-031,0,0
1946-032,0,0
1946-033,0,1
1946-034,0,0
1946-035,0,0
1946-036,0,0
1946-037,1,0
1946-038,0,0
1946-039,0,0
1946-040,0,0
1946-041,0,0
1946-042,0,0
1946-043,0,0
1946-044,0,0
1946-045,0,0
1946-046,0,0
1946-047,0,0
1946-048,0,0
1946-049,1,1
1946-050,1,1
1946-051,1,0
1946-052,0,0
1946-053,0,0
1946-054,0,0
1946-055,0,0
1946-056,0,0
1946-057,0,0
1946-058,0,0
1946-059,0,0
1946-060,1,1
1946-061,0,0
1946-062,0,0
1946-063,0,0
1946-064,0,0
1946-065,0,0
1946-066,0,0
1946-067,1,0
1946-068,0,0
1946-069,0,0
1946-070,0,0
1946-071,0,0
1946-072,0,0
1946-073,0,0
1946-074,0,0
1946-075,0,0
1946-076,0,0
1946-077,0,0
1946-078,0,0
1946-079,0,0
1946-080,0,0
1946-081,0,0
1946-082,0,0
1946-083,0,0
1946-084,0,0
1946-085,0,0
1946-086,0,0
1946-087,0,0
1946-088,0,0
1946-089,0,0
1946-090,0,0
1946-091,0,0
1946-092,0,0
1946-093,0,0
1946-094,0,0
1946-095,1,0
1946-096,0,0
1946-097,0,0
1946-098,0,0
1946-099,0,0
1946-100,0,0
1946-101,1,0
1946-102,1,0
1946-103,0,0
1946-104,0,0
1946-105,0,0
1946-106,0,0
1946-107,0,0
1946-108,0,0
1946-109,0,0
1946-110,0,0
1946-111,0,0
1946-112,0,0
1946-113,0,0
1946-114,0,0
1946-115,0,0
1946-116,0,0
1946-117,0,0
1946-118,0,0
1946-119,0,0
1946-120,0,0
1946-121,0,0
1946-122,0,0
1946-123,0,0
1946-124,0,0
1946-125,1,0
1946-126,0,0
1946-127,0,0
1946-128,0,0
1946-129,0,0
1946-130,0,0
1946-131,0,0
1946-132,0,0
1946-133,0,0
1946-134,0,0
1946-135,0,0
1946-136,0,0
1946-137,0,0
1946-138,0,1
1946-139,0,0
1946-140,0,0
1947-001,0,0
1947-002,1,0
1947-003,0,0
1947-004,0,0
1947-005,0,0
1947-006,0,0
1947-007,0,0
1947-008,0,0
1947-009,1,0
1947-010,0,0
1947-011,0,0
1947-012,0,0
1947-013,0,0
1947-014,0,0
1947-015,0,0
1947-016,0,0
1947-017,0,0
1947-018,0,0
1947-019,0,0
1947-020,0,0
1947-021,0,0
1947-022,0,0
1947-023,0,0
1947-024,1,0
1947-025,0,0
1947-026,0,0
1947-027,0,0
1947-028,0,0
1947-029,0,0
1947-030,0,0
1947-031,0,0
1947-032,0,0
1947-033,0,0
1947-034,0,0
1947-035,0,0
1947-036,0,0
1947-037,0,0
1947-038,0,0
1947-039,0,0
1947-040,1,0
1947-041,0,0
1947-042,0,0
1947-043,0,0
1947-044,0,0
1947-045,0,0
1947-046,0,0
1947-047,1,1
1947-048,0,0
1947-049,0,0
1947-050,0,0
1947-051,0,0
1947-052,0,0
1947-053,0,0
1947-054,0,0
1947-055,0,0
1947-056,0,0
1947-057,0,0
1947-058,0,0
1947-059,1,0
1947-060,0,0
1947-061,0,0
1947-062,0,0
1947-063,0,0
1947-064,0,0
1947-065,0,0
1947-066,0,0
1947-067,0,0
1947-068,0,0
1947-069,0,0
1947-070,0,0
1947-071,0,0
1947-072,1,1
1947-073,0,0
1947-074,0,0
1947-075,0,0
1947-076,0,0
1947-077,0,0
1947-078,0,0
1947-079,0,0
1947-080,0,0
1947-081,0,0
1947-082,0,0
1947-083,0,0
1947-084,0,0
1947-085,0,0
1947-086,0,0
1947-087,0,0
1947-088,0,0
1947-089,0,0
1947-090,1,0
1947-091,0,0
1947-092,0,0
1947-093,0,0
1947-094,1,0
1947-095,0,0
1947-096,1,0
1947-097,1,0
1947-098,0,0
1947-099,0,0
1947-100,0,0
1947-101,0,0
1947-102,0,0
1947-103,0,0
1947-104,0,0
1947-105,0,0
1947-106,0,0
1947-107,0,0
1947-108,0,0
1947-109,0,0
1947-110,0,0
1947-111,0,0
1947-112,0,0
1947-113,1,0
1947-114,0,0
1947-115,0,0
1947-116,0,0
1947-117,0,0
1948-001,1,0
1948-002,0,0
1948-003,0,0
1948-004,0,0
1948-005,0,0
1948-006,0,0
1948-007,0,0
1948-008,0,0
1948-009,0,0
1948-010,0,0
1948-011,1,0
1948-012,1,0
1948-013,1,0
1948-014,0,0
1948-015,0,0
1948-016,0,0
1948-017,0,0
1948-018,1,0
1948-019,1,0
1948-020,0,0
1948-021,0,0
1948-022,0,0
1948-023,0,0
1948-024,0,0
1948-025,0,0
1948-026,0,0
1948-027,0,0
1948-028,0,0
1948-029,0,0
1948-030,0,0
1948-031,1,0
1948-032,0,0
1948-033,0,0
1948-034,0,0
1948-035,0,0
1948-036,0,0
1948-037,0,0
1948-038,0,0
1948-039,0,0
1948-040,0,0
1948-041,0,0
1948-042,0,0
1948-043,0,0
1948-044,0,0
1948-045,0,0
1948-046,1,0
1948-047,0,0
1948-048,0,0
1948-049,0,0
1948-050,0,0
1948-051,0,0
1948-052,0,0
1948-053,0,0
1948-054,0,0
1948-055,0,0
1948-056,0,0
